Industry,MCC,MCC Title,MCC Description,Included in MCC,Connect/ISV Sub-Merchants,Pay/ISO/Direct Merchants,AML Risk Rating,Loss Risk Rating,Add'l Requirements,CNP Delayed Delivery,CP/ACH Delayed Delivery
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5441,"candy, nut and confectionery stores","merchants classified with this mcc are retail sellers of candy, chocolate, nuts, dried fruits, popcorn and other confections.","chocolate shops
confectionery shops
dried fruit shops
nut shops
popcorn stands",restricted/high risk,restricted/high risk,3,1,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5451,dairy products stores,"merchants classified with this mcc sell over-thecounter packaged butter, cheese, ice cream, milk, and other dairy products.",cheese shops,restricted/high risk,restricted/high risk,3,1,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5462,bakeries,merchants classified with this mcc sell (and may make) bakery goods.,"bagel shops
cake shops
cookie stores
doughnut shops
pastry shops
pie shops
wedding cakes",restricted/high risk,restricted/high risk,3,1,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5499,"miscellaneous food stores–convenience stores, markets, specialty stores, and vending machines",merchants classified with this mcc sell specialty foods not classified with a more specific mcc.,"convenience stores
delicatessens
food stores – convenience
fruit markets
gourmet food stores
health food stores
mini markets
poultry shops
produce markets
specialty food markets
vegetable markets
vitamin stores
meal preparation kits",restricted/high risk,restricted/high risk,3,3,,7,1
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5511,"automobile and truck dealers–sales, service, repairs, parts and leasing","merchants classified with this mcc sell and/or lease new and used automobiles, trucks, pickups, and vans and may also conduct repair work and sell replacement parts and accessories.","automobile/truck
 dealers (new/used)
sales, service, repairs,
parts, leasing
car dealers (new/used)
dealers – automobile/
 truck (new/used), sales,
service, repairs,
 parts, leasing
leasing – automobile,truck
motor vehicle
dealers(new/used)
repairs – automobile/
 truck dealers (new/
 used) sales, service,
 repairs, parts, leasing
truck dealers (new/used)",restricted/high risk,,3,4,,30,30
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5521,automobile and truck dealers–(used only)–sales,"merchants classified with this mcc sell and/or lease only used automobiles, trucks, pickups and vans and may also conduct repair work and sell replacement parts and accessories.","antique automobiles
automobiles/trucks (used
 only)
car dealers (used only)
dealers – antique
 automobiles
dealers – automobile/
 truck (used only)",restricted/high risk,,3,4,,30,30
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5532,automotive tire stores,merchants classified with this mcc sell automotive and truck tires and related parts and may also conduct tire installation and repair services.,"car tires – new only
repairs – automotive tire
 stores
services – repairs/
 automotive tire stores
tire stores",restricted/high risk,,4,3,,10,1
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5533,automotive parts and accessories stores,"merchants classified with this mcc sell automobile parts, equipment, and accessories.","accessories – automotive
automobile – parts,
 accessories stores
car parts, accessories
 stores
motor vehicle supplies,
 parts
parts, automotive
supplies – automotive
 parts, accessories stores",restricted/high risk,restricted/high risk,4,4,,10,2
"chemicals, fuel, & petroleum dealers, stores, & services",5541,service stations (with or without ancillary services),"merchants classified with this mcc are retail sellers of engine fuel these merchants may or may not also have a convenience store, car wash, or automotive repair shop on the premises, but must sell fuel for consumer use. excluded from this category code are automated fuel dispensers, mcc 5542","filling stations –
 automotive gasoline
gas stations (with or
 without ancillary services)
gasoline – service stations
marina service stations
petrol – service stations
truck stops – gasoline
 service",prohibited,,1,1,,1,1
"chemicals, fuel, & petroleum dealers, stores, & services",5542,"fuel dispenser, automated",merchants classified with this mcc are retail sellers of engine fuel through the use of an automated fuel dispenser (afd).,"cardholder-activated
 fuel dispensers
fuel dispensers –
 automated
gas pumps (automated
 fuel dispensers)
fuel – self-service
terminals
petrol dispensers –
 automated petrol – selfservice terminals
self-service terminals –
 fuel
self-service terminals – petrol",prohibited,,1,1,,1,1
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5551,boat dealers,"merchants classified with this mcc sell new and used motorboats, sailboats, and other watercraft, marine supplies, and outboard motors.","dealers – boat
motorboat dealers
outboard motor dealers
powerboat dealers
sailboat dealers",prohibited,,4,4,,10,2
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5552,electric vehicle charging,merchants classified with this mcc sell electricity for the purpose of fueling an automobile,,,,1,1,,1,1
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5561,"camper dealers, recreational and utility trailers","merchants classified with this mcc sell new and used campers, recreational and utility trailers, and related parts and accessories.","accessories – recreational
vehicles
camper dealers
dealers – recreational,
 utility trailers, camper
 dealers
parts, recreational
vehicles
rv, camper dealers
recreational vehicle
dealers, parts, accessories
trailers – utility
utility trailers",prohibited,,3,4,,10,10
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5571,motorcycle shops and dealers,"merchants classified with this mcc sell new and used motorcycles, motor scooters, mopeds and related parts, equipment, clothing, and accessories.","dealers – motorcycle,
 moped, motor scooters
 moped dealers, parts,
 accessories
motor scooter dealers,
 parts, accessories
supplies – motorcycle
 parts, accessories",prohibited,,4,4,,10,10
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5592,motor home dealers,merchants classified with this mcc sell new and used motor homes and related parts and accessories.,dealers – motor homes,prohibited,,3,4,,10,10
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5598,snowmobile dealers,merchants classified with this mcc sell new and used snowmobiles and related parts and accessories.,dealers – snowmobiles,prohibited,,3,4,,10,10
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5599,"miscellaneous automotive, aircraft, and farm equipment dealers–not elsewhere classified","merchants classified with this mcc sell new and used aircraft and/or automotive, farm, and recreational vehicles, parts, equipment and supplies not classified with a more specific mcc.","airplane, aircraft dealers
all-terrain vehicle
 dealers
automotive dealers –
 miscellaneous
 dealers – airplane,
aircraft
dealers – golf carts
dealers – miscellaneous
automotive dealers
plane dealers – aircraft",restricted/high risk,,4,4,,10,10
clothing and accessories stores,5611,men’s and boys’ clothing and accessories stores,merchants classified with this mcc sell men’s and boys’ ready-to-wear clothing and accessories.,"accessories – men’s,
 boys’ clothing
apparel – men’s, boys’
 clothing
boys’ clothing, accessories
clothing – men’s, boys’
 clothing, accessory
 stores
hat shops – men’s necktie
 stores
tie shops – men’s clothing",,,1,2,,5,1
clothing and accessories stores,5621,women’s ready to wear stores,merchants classified with this mcc sell a general line of women’s ready-to-wear and special-event clothing.,"apparel – women’s ready-
 to-wear stores
bridal shops
clothing – women’s
 ready-to-wear stores
coat stores – women’s
 dress shops
maternity stores
outerwear stores –
 women’s",,,1,2,,5,1
clothing and accessories stores,5631,women’s accessory and specialty stores,"merchants classified with this mcc sell women’s clothing accessories, including handbags, hats, costume jewelry, scarves, belts, hair accessories, lingerie, and hosiery.","accessories – women’s
 accessory, specialty
 shops
apparel – women’s
 accessory, specialty
 shops
clothing – women’s
 accessory, specialty
 shops
costume jewelry shops
handbag stores
hat shops – women’s
jewelry – costume
lingerie stores",,,3,2,,5,1
clothing and accessories stores,5641,children’s and infants’ wear stores,merchants classified with this mcc sell children’s and infants’ clothing and accessories.,"apparel – children’s,
 infants’ wear
baby clothing
clothing – children’s,
 infants’ wear stores
infants’ clothing",,,1,2,,5,1
clothing and accessories stores,5651,family clothing stores,"merchants classified with this mcc sell general lines of men’s, women’s, and children’s clothing and accessories without specializing in sales for a particular gender or age group.","apparel – family clothing
 stores
clothing – family clothing
 stores
jeans, denim clothing
 stores",,,1,2,,5,1
clothing and accessories stores,5655,"sports apparel, and riding apparel stores","merchants classified with this mcc sell athletic, sports, and riding apparel and active wear.","active wear – sports
 apparel
apparel – sports, riding
 apparel stores
athletic apparel stores
clothing – sports apparel,
 riding apparel stores
equestrian apparel
riding apparel – sports
 apparel",,,3,3,,7,1
clothing and accessories stores,5661,shoe stores,"merchants classified with this mcc sell men’s, women’s, and/or children’s footwear (including athletic footwear) and accessories.","athletic shoe stores
boot shops
footwear stores
western boot shops",,,3,2,,5,1
clothing and accessories stores,5681,furriers and fur shops,"merchants classified with this mcc sell a variety of items made of animal fur, including coats, jackets, hats, and gloves.","apparel – furriers, fur
 shops
clothing – furriers, fur
 shops
coat stores – furriers",restricted/high risk,,1,3,,7,1
clothing and accessories stores,5691,men’s and women’s clothing stores,merchants classified with this mcc sell men’s and women’s clothing and accessories but not infants’ and children’s clothing.,"apparel – men’s clothing
 stores
clothing – women’s
clothing stores",,,1,3,,5,1
clothing and accessories stores,5697,"alterations, mending, seamstresses, tailors","merchants classified with this mcc create and sell custom-made clothing and perform alterations, mending, and garment repair or restoration.","alterations
apparel – tailors,
 seamstresses, mending,
 alterations
clothing – tailors,
 seamstresses, mending,
 alterations
custom made clothing
dressmakers
hand made clothing
made-to-order clothing
mending, alterations
repairs – tailors,
 seamstresses, mending, alterations
seamstresses services –
 tailors, seamstresses,
 mending, alterations
sewing shops –
 alterations",restricted/high risk,,1,3,,10,1
clothing and accessories stores,5698,wig and toupee shops,"merchants classified with this mcc sell permanently attached or temporary toupees, wigs, hair pieces, and hair extensions or provide hair weaving services.","hair pieces, extensions
hair replacement –
 non-surgical
toupee stores",prohibited,,1,2,,7,2
clothing and accessories stores,5699,accessory and apparel stores–miscellaneous,merchants classified with this mcc sell specialized lines of apparel (excluding fur) and accessories that are not classified with a more specific mcc.,"clothing – formal wear
clothing – miscellaneous
 apparel, accessory shops
swim wear shop
t-shirt stores",,,1,2,,5,1
"appliances, electronics, furniture, flooring, & home furnishings",5712,"equipment, furniture and home furnishings stores (except appliances)",merchants classified with this mcc sell home furnishings and a wide variety of finished furniture products and accessories for the home.,"bedding, mattress stores
custom made furniture
equipment stores
home furnishings,
 furniture
made-to-order furniture
mattress stores
outdoor furnishings
patio, porch furnishings
 stores",restricted/high risk,restricted/high risk,3,5,,30,10
"appliances, electronics, furniture, flooring, & home furnishings",5713,floor covering stores,"merchants classified with this mcc are retail sellers of floor coverings such as carpet, area rugs, floor tile, linoleum, stone, wood, and brick, and may or may not also perform installation services. ","carpet, rug stores
linoleum stores
rug stores
tile stores",restricted/high risk,restricted/high risk,4,4,,5,1
"appliances, electronics, furniture, flooring, & home furnishings",5714,"drapery, upholstery and window coverings stores","merchants classified with this mcc sell draperies, curtains, venetian blinds, window shades, and upholstery materials.","curtain stores
upholstery materials stores
window-covering stores",restricted/high risk,restricted/high risk,4,4,,15,10
"appliances, electronics, furniture, flooring, & home furnishings",5718,"fireplace, fireplace screens and accessories stores","merchants classified with this mcc sell pre-made fireplaces, wood stoves, and fireplace parts and accessories.","hearth, accessories
 stores
heating – fireplace,
 accessories stores
stoves – fireplaces,
 accessories stores
woodburning stoves,
 accessories stores",,restricted/high risk,4,3,,5,1
"appliances, electronics, furniture, flooring, & home furnishings",5719,miscellaneous house furnishing specialty shops,"merchants classified with this mcc sell miscellaneous home furnishings such as housewares, cutlery, bedding and linen, lamps and shades, mirrors and pictures, pottery, and ceramic items.","accessories – home
 furnishings
bed, bath shops
cookware stores
cutlery – kitchen
home furnishing
specialty stores –
 miscellaneous
housewares stores
kitchenware stores
lamp, lighting shops
linen shops
pottery stores",restricted/high risk,restricted/high risk,3,4,,30,10
"appliances, electronics, furniture, flooring, & home furnishings",5722,household appliance stores,"merchants classified with this mcc sell household appliances such as gas or electric ranges and stoves, ovens, refrigerators, dishwashers, water heaters, washers and dryers, garbage disposals, sewing machines, self-contained air conditioning units, and vacuum cleaners, and may or may not also conduct repair work.","sewing machine stores
vacuum cleaner stores",restricted/high risk,restricted/high risk,3,4,,30,10
"appliances, electronics, furniture, flooring, & home furnishings",5732,electronics sales,"merchants classified with this mcc sell a wide variety of electronic goods such as televisions, radios, cameras, computers, tablets, and stereo components and may also sell electronic parts and or accessories for the repair, construction or assembly of electronic equipment and/or also conduct repair work.","camcorders (and other
 electronics)
computer hardware
 (and other electronics)
electronic parts
electronic repair shops
high fidelity equipment
personal computers
radios
stereos, receivers, cd
 equipment
television stores
vcr’s
video cameras (and
 other electronics)",restricted/high risk,restricted/high risk,3,3,,5,1
miscellaneous stores & services,5733,"music stores–musical instruments, pianos and sheet music","merchants classified with this mcc sell musical instruments, sheet music, keyboards, instruction books, pianos, guitars and related supplies and equipment and may also offer music instruction.","guitar stores
instruments – musical
 pianos",,,1,2,,5,1
"digital goods, computer & technology services & sales",5734,computer software stores,merchants classified with this mcc sell computer software programs for business and personal use and may also sell or lease computer hardware or other related products. merchants that sell applications for mobile devices should use mcc 5817.,,restricted/high risk,restricted/high risk,3,3,,2,1
miscellaneous stores & services,5735,record shops,"merchants classified with this mcc sell records, compact discs (cds), and cassettes, and may also rent video tapes.","cd, cassette, record
 stores
compact disc, cassette,
 record stores
music stores –
 prerecorded records,
 cds, cassettes
record, cd, cassette
 stores
used record/cd stores",,,1,1,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5811,caterers,"merchants classified with this mcc contract with consumers to prepare and deliver (typically to a specified location) food and drinks for immediate consumption and may also provide clean-up services, tables, serving equipment, decorations, and personnel for on-site serving and cleanup.","food preparation –
 catering",,,3,4,,15,5
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5812,eating places and restaurants,"merchants classified with this mcc prepare food and drinks for immediate consumption, typically on the merchant’s premises. these merchants typically provide table service and may include alcoholic beverages on the menu. this mcc includes food delivery.","cafes, restaurants
cafeterias
diners – eating
 establishments
restaurants
soda fountains",,,3,1,,1,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5813,"bars, cocktail lounges, discotheques, nightclubs and taverns–drinking places (alcoholic beverages)","merchants classified with this mcc sell alcoholic beverages such as wine, beer, mixed drinks, and other liquors and beverages for consumption on the premises.","drinking establishments
beer parlors
breweries, bars
comedy clubs
lounges
micro breweries
pubs
saloons
tap rooms
wine bars",restricted/high risk,restricted/high risk,3,1,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",1,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5814,fast food restaurants,"merchants classified with this mcc sell prepared food and beverages for consumption either on the premises or packaged for carry-out. orders are typically made and paid for at a counter, kiosk or drive-through window.","quick service restaurants
vending machines – food
sandwich shops
ice cream shops
coffee shops
yogurt shops
pretzel stands",restricted/high risk,restricted/high risk,3,2,,1,1
"digital goods, computer & technology services & sales",5815,"digital goods: books, movies, music","merchants classified with this mcc sell books, movies, digital artwork/images or music that is delivered in electronic format. merchants offering ongoing steaming of digital media content on a subscription basis should use mcc 4899",,restricted/high risk,restricted/high risk,4,3,,2,2
"digital goods, computer & technology services & sales",5816,digital goods: games,merchants classified with this mcc sell games (including games of skill but excluding games of chance) that are delivered in electronic format.,"fantasy sports (in
 jurisdictions where they
 not considered gambling)",restricted/high risk,restricted/high risk,4,4,,2,2
"digital goods, computer & technology services & sales",5817,digital goods: applications (excludes games),merchants classified with this mcc sell applications or software (excludes games) that are delivered in electronic format.,,restricted/high risk,,4,3,,2,2
"digital goods, computer & technology services & sales",5818,digital goods: large digital goods merchant (v) digital goods: multi-category (m),"all regions (excluding europe): merchants classified with this mcc are large-volume merchants that sell digital goods (goods delivered via electronic format) with a minimum threshold of 25 million transactions annually. europe region only: merchants classified with this mcc are digital goods merchants that are categorized as pci dss level 1, as they process over 6 million visa transactions annually",,prohibited,restricted/high risk,4,4,,10,2
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5912,drug stores and pharmacies,"merchants classified with this mcc sell prescription and proprietary drugs, nonprescription (over-thecounter) medicines, vitamins, cannabis (where legal to do so) and may also sell related items such as cosmetics, toiletries, tobacco, heating pads, back supports, novelty merchandise, greeting cards, and a limited supply of food items.","medicine – prescription,
 pharmacies
pharmacies
prescription medication
toiletries",prohibited,prohibited,4,3,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5921,"package stores–beer, wine and liquor","merchants classified with this mcc sell packaged alcoholic beverages such as beer, wine, and liquor for consumption off the premises and may also sell a limited variety of food and snack items, newspapers and magazines, and a limited selection of toiletries and over-the-counter medicines.",alcohol – liquor stores 5,restricted/high risk,prohibited,4,2,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",5,1
miscellaneous stores & services,5931,"second hand stores, used merchandise stores","merchants classified with this mcc sell used merchandise or secondhand goods such as accessories, shoes and clothing, furniture, books, bicycles, musical instruments, sewing machines, electronic equipment, appliances, and other household items. typically, the items for sale have been donated or are on consignment.","consignment shops
secondhand stores
thrift stores
vintage clothing",restricted/high risk,,3,1,,5,1
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5932,"antique shops–sales, repairs and restoration services","merchants classified with this mcc sell antiques such as furniture, jewelry, cameras and photographic equipment, tools, art work, books, appliances and other household items. this mcc does not include retail sellers of antique automobiles.","services – antique
 restoration",prohibited,restricted/high risk,4,4,,15,7
miscellaneous stores & services,5933,pawn shops,merchants classified with this mcc lend money in exchange for personal property left with the merchants as security.,,prohibited,restricted/high risk,4,3,,5,2
miscellaneous stores & services,5935,wrecking and salvage yards,merchants classified with this mcc provide wrecking and salvaging services.,junk yards,prohibited,restricted/high risk,5,3,,5,1
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5937,antique reproduction stores,"merchants classified with this mcc sell antique reproductions or facsimiles of clothing, furniture, rugs, paintings and art work, mirrors, glassware, jewelry, and other household and personal items and may also provide antique photograph reproduction and restoration services.",,prohibited,restricted/high risk,5,4,,14,2
miscellaneous stores & services,5940,bicycle shops–sales and service,"merchants classified with this mcc sell bicycles, bicycle parts, and accessories (including a limited variety of related sporting apparel) and may also conduct repair work.","mountain bikes
service – bicycles",,,1,3,,5,1
miscellaneous stores & services,5941,sporting goods stores,"merchants classified with this mcc sell sporting goods, sports equipment, camping supplies, and related parts and accessories, and may also rent or repair equipment.","backpacking equipment
bait, tackle stores
billiard tables – sales
 camping equipment
cutlery – sporting knives
exercise equipment
fishing – equipment, bait,
 tackle
golf equipment
gun shops
hiking equipment
hunting equipment,
supplies
in-line skates shops
pool tables – sales
rollerblade shops
scuba, skin diving
 equipment
skateboard shops
ski shops
skin diving, scuba
 equipment
surfboards, accessories
trekking equipment
windsurf boards,
 accessories",restricted/high risk,restricted/high risk,3,2,,5,1
miscellaneous stores & services,5942,book stores,"merchants classified with this mcc sell new and/or used books, journals, magazines, textbooks, maps and atlases, audio books, and calendars.","paperbacks – book stores
textbooks",,,1,1,,5,1
miscellaneous stores & services,5943,"office, school supply and stationery stores","merchants classified with this mcc are retail sellers of paper goods used in offices and schools, office and school supplies, , and small office equipment and furniture.","office supply stores
school supply store",,,1,2,,5,1
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5944,"clock, jewelry, watch and silverware stores","merchants classified with this mcc sell fine jewelry, watches, clocks, and sterling silver and silver-plated flatware and accessories, and may also repair fine jewelry.","clock shop
diamond stores
gems, precious metals,
 jewelry
jewelry – fine
precious gems, metals,
 jewelry
silversmiths
silverware stores
watch shops",restricted/high risk,restricted/high risk,5,4,,5,1
miscellaneous stores & services,5945,"game, toy and hobby shops","merchants classified with this mcc sell toys and games, and may also sell a limited selection of do-ityourself craft or hobby kits.","games stores
hobby shops
toy stores
toy, game shops",,,1,2,,5,1
miscellaneous stores & services,5946,camera and photographic supply stores,"merchants classified with this mcc sell cameras, film, video equipment, printers, and other photographic equipment and supplies, and may provide photo/video processing services.","camcorders,
 photographic equipment
equipment –
 photographic supply
 stores
photography supply stores
supplies – photographic
video cameras,
 photographic equipment",restricted/high risk,,3,2,,5,1
miscellaneous stores & services,5947,"card, gift, novelty and souvenir shops","merchants classified with this mcc sell gifts and novelty items, greeting cards, balloons, souvenirs, holiday decorations, stationery, wrapping paper and bows, photo albums, and a limited selection of office supplies.","memorabilia, souvenir
 shops
novelty shops
souvenir, memorabilia
 shops",,,1,1,,5,1
miscellaneous stores & services,5948,leather goods and luggage stores,"merchants classified with this mcc are retail sellers of luggage, trunks, briefcases, leather backpacks, wallets, purses, gloves, and other leather goods, and may also sell a limited selection of leather apparel.",,,,3,2,,5,1
miscellaneous stores & services,5949,"fabric, needlework, piece goods and sewing stores","merchants classified with this mcc are retail sellers of fabric, patterns, yarn and other needlework/sewing supplies, and may offer sewing classes or instruction.","fabric stores
knitting shops
needlework shops
supplies – sewing, fabric,
 notions, needlework, piece goods
yarn shops",,,1,1,,5,1
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5950,crystal and glassware stores,"merchants classified with this mcc sell glassware, china and crystal tableware, and glass, china, or crystal gift items.","china, crystal stores
crystal stores
cut glass, crystal",,,3,1,,5,1
"direct marketing, door-to-door, & mail order sales & services",5960,direct marketing insurance services,"merchants classified with this mcc sell insurance via direct mail, billing statement stuffers, and magazine or television ads, all of which include either a toll-free telephone number or an address to which prospective customers may respond.","automobile insurance –
 sales (direct marketing)
insurance services –
 direct marketing
services – insurance,
 direct marketing",prohibited,restricted/high risk,4,4,,15,2
"direct marketing, door-to-door, & mail order sales & services",5961,mail order houses including catalog order stores,,,prohibited,restricted/high risk,5,4,,5,1
"direct marketing, door-to-door, & mail order sales & services",5962,direct marketing–travel related arrangement services,"merchants classified with this mcc sell travel-related services (including discount travel clubs or newsletters) via outbound telemarketing calls, mailings, magazine or television ads, or other direct marketing methods that include either a toll-free telephone number or an address to which prospective customers may respond.","services – direct
 marketing travel-
 related arrangement
 services
telemarketing travel-
 related arrangement
 services (excluding
 travel agencies)
travel clubs (direct
 marketing)
travel-related
 arrangement services-
 direct marketing",prohibited,prohibited,6,6,,90,1
"direct marketing, door-to-door, & mail order sales & services",5963,door-to-door sales,merchants classified with this mcc sell a variety of products by means of house-to-house visits.,,prohibited,prohibited,4,3,,5,1
"direct marketing, door-to-door, & mail order sales & services",5964,direct marketing–catalog merchants,merchants classified with this mcc sell a variety of goods via catalogs and offer no means by which customers may purchase products in a face-to-face manner.,,prohibited,restricted/high risk,4,4,,5,1
"direct marketing, door-to-door, & mail order sales & services",5965,direct marketing–combination catalog and retail merchant,"merchants classified with this mcc sell a variety of goods via catalog and one or more retail outlets. mcc 5965 is used for goods sold via catalog, while the mcc relevant to what is sold in the retail outlets is used for goods sold in the retail outlets.",,prohibited,restricted/high risk,4,3,,5,1
"direct marketing, door-to-door, & mail order sales & services",5966,direct marketing–outbound telemarketing merchants,"merchants classified with this mcc sell a variety of products using outbound telemarketing methods, where the merchant initiates contact with prospective buyers via telephone or mailing (other than a catalog) that instructs the cardholder to contact the merchant. this mcc excludes charitable organizations that conduct outbound telemarketing.",,prohibited,prohibited,4,2,,5,1
"direct marketing, door-to-door, & mail order sales & services",5967,direct marketing–inbound telemarketing merchants,merchants classified with this mcc sell information or content services (or goods sold through the service) that customers access via telephone or fax or over the internet.,"adult content
audiotext merchants
videotext merchants
digital content merchants",prohibited,prohibited,4,2,,5,1
"direct marketing, door-to-door, & mail order sales & services",5968,direct marketing–continuity/subscription merchants,"merchants classified with this mcc sell subscription products for delivery (such as book clubs, collectibles, magazines/newspapers cosmetics, food, clothing, “nutraceuticals”) via “direct” mail, email. apps, or salespeople. merchants not participating in direct marketing activities that happen to offer recurring purchase transactions should use the mcc that best describes their business instead. for example, merchants providing the ongoing delivery of television/radio/streaming content on a subscription basis must use mcc 4899 qualified merchants that “directly” sell subscriptions for digital goods or content may use mcc 5815, 5816, 5817, or 5818.","magazine subscription
 (direct mail only)
direct mail merchants",prohibited,restricted/high risk,4,4,,5,1
"direct marketing, door-to-door, & mail order sales & services",5969,direct marketing–other direct marketers–not elsewhere classified,"merchants classified with this mcc sell products or services through a variety of direct response methods that include an order form or an address and/or telephone number the customer may use to place an order by mail, telephone, or fax and that are not classified with a more specific mcc.","classified ads –
 newspaper (via direct
 marketing)
ticket agencies –
 direct marketing",prohibited,restricted/high risk,4,4,,5,1
miscellaneous stores & services,5970,"artist supply stores, craft shops","merchants classified with this mcc sell art and craft materials, equipment and supplies used to create other items.","supplies – art, crafts",,,1,2,,5,1
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5971,art dealers and galleries,"merchants classified with this mcc sell artwork such as paintings, photographs, or sculpture.",,restricted/high risk,restricted/high risk,4,3,,5,2
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5972,stamp and coin stores–philatelic and numismatic supplies,"merchants classified with this mcc sell postage stamps and coins, and related accessories for the purpose of stamp collecting, coin collecting or investment.","numismatic supplies
philatelic supplies
stamp collecting
supplies – numismatic,
 philatelic",prohibited,restricted/high risk,5,2,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",5,1
miscellaneous stores & services,5973,religious goods stores,"merchants classified with this mcc sell religious goods such as figurines, cards, devotion supplies, pictures, books, and decorative items.",,,,1,1,,5,1
"doctors, dentists, hospitals & related services",5975,"hearing aids–sales, service, supply stores","merchants classified with this mcc sell hearing aids and related supplies, and may also conduct repair work.","repairs – hearing aids,
 sales, service, supply,
 stores
service – hearing aids,
 supplies
supplies – hearing aids,
service, supplies",,,3,3,,7,1
"doctors, dentists, hospitals & related services",5976,orthopedic goods–artificial limb stores,"merchants classified with this mcc sell a variety of prosthetic devices and orthopedic goods and accessories, and may also conduct repair work.","orthotics, prosthetic,
 devices
prosthetic devices",,,3,3,,15,1
clothing and accessories stores,5977,cosmetic stores,merchants classified with this mcc sell cosmetics.,make-up stores,restricted/high risk,restricted/high risk,3,2,,5,1
miscellaneous stores & services,5978,"typewriter stores–rentals, sales, service","merchants classified with this mcc sell, rent, or lease typewriters, may also sell a limited selection of office supplies and equipment, and may also conduct repair work.",,prohibited,,1,1,,5,1
"chemicals, fuel, & petroleum dealers, stores, & services",5983,"fuel dealers–coal, fuel oil, liquefied petroleum, wood","merchants classified with this mcc sell fuel oil, wood, coal, liquefied petroleum, aviation fuel, heating oil or gas propane for consumer use, and may also sell fuel for consumer use in automobiles.","aviation fuel
coal dealers
dealers – fuel dealers,
 fuel oil, wood, coal,
 liquefied petroleum
home heating fuel dealers
liquefied petroleum
dealers
oil dealers
propane dealers
wood dealers",,,3,1,,5,1
miscellaneous stores & services,5992,florists,"merchants classified with this mcc sell cut flowers, flower arrangements, and potted plants, and may also sell novelty items.","balloon bouquets
flower shops
plant store",,,1,1,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5993,cigar stores and stands,"merchants classified with this mcc sell tobacco, cigarettes, electronic cigarettes, cigars, pipes, and smokers’ supplies.","pipe shops
smoke shops
tobacco shops",restricted/high risk,restricted/high risk,5,2,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",5,1
miscellaneous stores & services,5994,news dealers and newsstands,"merchants classified with this mcc sell newspapers, magazines, journals, and other periodicals.","dealers – newspapers
magazines (newsstands)
newspapers
periodicals (newsstands)",prohibited,,1,1,,5,1
miscellaneous stores & services,5995,"pet shops, pet food and supplies","merchants classified with this mcc sell domestic pets, pet food, and pet supplies.",animals,restricted/high risk,restricted/high risk,1,1,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",5,1
miscellaneous stores & services,5996,swimming pools–sales and supplies,"merchants classified with this mcc sell home swimming pools, spas, hot tubs, whirlpool baths, and supplies, and may also provide installation and/or repair services.","hot tubs, spas – sales,
 service, supplies
services – hot tubs, spas,
 sales, service, supplies
services – swimming
 pools, sales, service,
 supplies
supplies – hot tubs, spas
supplies – swimming pools",,,3,4,,15,1
miscellaneous stores & services,5997,electric razor stores–sales and service,merchants classified with this mcc sell electric razors and may also provide repair services. ,,restricted/high risk,restricted/high risk,1,2,,5,1
