Industry,MCC,MCC Title,MCC Description,Included in MCC,Connect/ISV Sub-Merchants,Pay/ISO/Direct Merchants,AML Risk Rating,Loss Risk Rating,Add'l Requirements,CNP Delayed Delivery,CP/ACH Delayed Delivery
transportation services,4761,telemarketing of travel related services and vitamins,,,,,4,3,credit stability documentation and 3 months of pps + bank statements required,15,2
transportation services,4784,"bridge and road fees, tolls","merchants classified with this mcc collect fees associated with toll roads, highways, and bridges.","bridge, toll fees
fees – bridge, toll",prohibited,,3,2,,5,1
transportation services,4789,transportation services not elsewhere classified,"merchants classified with this mcc provide passenger transportation services that are not classified with a more specific mcc. this mcc includes merchants that provide transportation via horse-drawn cabs and carriages, bicycle-taxis, aerial tramways, airport shuttles, and cable cars. ferry service, bus transportation, cruise lines, passenger railways, and taxi and limousine service merchants are not included in this category.","airport shuttle
 transportation
miscellaneous transport
 services
services – transportation
shuttle transportation",prohibited,,3,3,,1,1
telecommunication & utility services,4812,telecommunication equipment including telephone sales,"merchants classified with this mcc sell telecommunications equipment such as telephones, fax machines, pagers, mobile phones, and other equipment related to telecommunications.","cellular telephone
 equipment
equipment –
 telecommunications
pagers, paging equipment
telephone equipment",prohibited,restricted/high risk,4,2,,5,1
telecommunication & utility services,4813,key-entry telecom merchant providing single local and long-distance phone calls using a central access number in a non-face-to-face environment using key entry,,,prohibited,,4,3,,15,15
telecommunication & utility services,4814,telecommunication services including but not limited to prepaid phone services and recurring phone services,"merchants classified with this mcc provide telecommunications services including local and longdistance telephone calls, calls placed through the use of magnetic stripe-reading telephones, and fax services. merchants that provide periodic (e.g., monthly) billing of telephone calls should be classified with this mcc.","cellular telephone service
faxing services
local telecommunication
 service
long distance
 telecommunication
 service
prepaid calling cards –
 telecommunication
 service",prohibited,,4,3,,15,15
"digital goods, computer & technology services & sales",4816,computer network/information services,merchants classified with this mcc provide internet access. this mcc includes all merchants that provide computer network and information services and internet service providers.,"electronic bulletin board
 access
information services –
 via computer networks
internet payment
 facilitators
website management/
 maintenance",prohibited,prohibited,4,4,,15,2
telecommunication & utility services,4821,telegraph services,merchants classified with this mcc that provide telegraph and other nonverbal message communications services such as telegrams.,"cablegrams
services – cablegrams
services – telegraph",prohibited,,4,2,,1,1
"financial institutions & services, securities, and insurance",4829,"wire transfer money orders (v, d, g, x) money transfer (m)","merchants classified with this mcc allow customers to transfer funds via an electronic funds transfer / wire transfer / remittance to a named entity (both cardpresent and card-absent locations including on the premises of the merchant and third-party agents such as casinos, truck stops, or check-cashing storefronts) or via an original credit transaction (e.g., via visa direct or person to person [p2p] payments). a merchant that transfers non-fiat currency such as cryptocurrency must include all required data in the authorization request and clearing record.",wire transfer,prohibited,prohibited,6,6,,2,1
telecommunication & utility services,4899,"cable, satellite, and other pay television and radio services",merchants classified with this mcc provide the connection and ongoing delivery of television/radio/streaming content on a subscription or fee basis.,"pay radio services
pay television services
 cable
satellite services
services – cable and
 other pay television
 services
services – pay radio
 and satellite services",restricted/high risk,restricted/high risk,3,3,,14,2
telecommunication & utility services,4900,"utilities–electric, gas, heating oil, sanitary, water","merchants classified with this mcc provide the ongoing generation, transmission, and/or distribution of electric or gas power or other utility services. this mcc also includes merchants that provide water supply system services and merchants primarily engaged in the collection and disposal of refuse.","electric utilities
garbage collectors
gas utilities
public utilities
sanitary utilities
services – electric utilities
services – gas utilities
services – sanitary
 utilities
services – waste
 management
services – water utilities
water utilities",,,4,2,,1,1
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5013,motor vehicle supplies and new parts,"merchants classified with this mcc are business-tobusiness or wholesale distributors of motor vehicle accessories, tools, equipment and new parts, including testing equipment, service station pumps and other equipment, glass, batteries, and engines.","automobile – motor
 vehicle supplies, new
 parts
parts – motor vehicle
 supplies, new parts
supplies – motor vehicle
 supplies, new parts
vehicle supplies, new
 parts",restricted/high risk,restricted/high risk,4,4,,15,7
"appliances, electronics, furniture, flooring, & home furnishings",5021,office and commercial furniture,merchants classified with this mcc are business-tobusiness or wholesale manufacturers and/or distributors of office and commercial furniture.,"commercial furniture
furniture – office,
 commercial",restricted/high risk,restricted/high risk,4,5,,30,10
"home improvement & hardware stores, construction & building materials stores & suppliers",5039,construction materials not elsewhere classified,893,"materials – construction
supplies – construction
 materials",restricted/high risk,,1,3,,10,2
miscellaneous stores & services,5044,"office, photographic, photocopy and microfilm equipment","merchants classified with this mcc are business-tobusiness or wholesale distributors of office and photographic equipment such as film, cash registers, photocopy machines, microfilm machines, vaults and safes, typewriters, fax machines, adding machines, and mailing machines.","copy services –
photographic, photo -copy,
microfilm supplies
equipment – photographic,
photocopy, microfilm
equipment, supplies
microfilm supplies
photocopy supplies
supplies – photographic,
 photocopy, microfilm
 equipment, supplies",restricted/high risk,,1,3,,15,7
"digital goods, computer & technology services & sales",5045,"computers, computer peripheral equipment, software","merchants classified with this mcc are business-tobusiness or wholesale distributors of computer hardware, software and related equipment.","equipment – computers,
computer peripheral
 equipment, software
hardware – computer
software – computer
supplies – computers,
 computer peripheral
 equipment, software",restricted/high risk,restricted/high risk,3,4,,7,2
"home improvement & hardware stores, construction & building materials stores & suppliers",5046,commercial equipment not elsewhere classified,merchants classified with this mcc are business-tobusiness or wholesale distributors of commercial machines and equipment that are not classified with a more specific mcc.,"appliance wholesaler
commercial cooking,
 food service equipment
 equipment – commercial
 food service equipment –
 commercial cooking
 equipment
restaurant equipment –
 commercial cooking,
 food service equipment
supplies – commercial
 equipment",restricted/high risk,,4,5,,30,10
"doctors, dentists, hospitals & related services",5047,dental/laboratory/medical/ophthalmic hospital equipment and supplies,"merchants classified with this mcc are business-to-business or wholesale distributors of laboratory, surgical, dental, or orthopedic equipment, patient monitoring equipment, wheel chairs, and other medical instruments, industrial safety devices, hospital equipment and hospital furniture, such as beds. ","equipment – medical,
 dental, ophthalmic,
 orthopedic, hospital
 equipment, supplies
hospital equipment,
 supplies
orthodontia supplies
safety equipment
supplies – dental
supplies – hospital
supplies – medical
supplies – orthopedic
x-ray equipment",restricted/high risk,restricted/high risk,4,4,,30,10
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5051,metal service centers and offices,"merchants classified with this mcc are business-tobusiness or wholesale marketers of semi-finished metal products, excluding precious metals. these merchants may sell metal piping and tubing, wire screening and bale ties, nails, ingots, aluminum bars, rails and accessories, metal or galvanized sheets, strip metal, iron rods, and wire rope or cable.",,prohibited,restricted/high risk,5,4,,15,7
"appliances, electronics, furniture, flooring, & home furnishings",5065,electrical parts and equipment,"merchants classified with this mcc are business-tobusiness or wholesale distributors of electrical parts and communications equipment, such as electronic coils, capacitors, electronic condensers, diodes, semiconductor devices, public address equipment, and electric signs.","communications
 equipment
equipment – electrical
parts, equipment
parts – electrical,
 equipment
supplies – electrical parts,
 equipment",restricted/high risk,,4,4,,15,7
"home improvement & hardware stores, construction & building materials stores & suppliers",5072,hardware equipment and supplies,"merchants classified with this mcc are business-tobusiness or wholesale distributors of general hardware and cutlery such as bolts, nuts, rivets, screws, fasteners, hand tools, locks, washers, tacks, staples, nails, hand saws, saw blades, and power hand tools.","equipment – hardware,
 equipment, supplies
hand tools
supplies hardware,
 equipment, supplies",,,3,3,,15,7
"home improvement & hardware stores, construction & building materials stores & suppliers",5074,plumbing and heating equipment,merchants classified with this mcc are business-tobusiness or wholesale distributors of hydraulic plumbing and heating equipment and supplies. this mcc does not include wholesalers of commercial refrigeration equipment or supplies or appliances such as electric or gas ranges and commercial ovens.,"equipment – heating
 equipment, supplies
equipment – plumbing
 equipment, supplies
equipment – water
 conditioning,
 purification, softening
heating equipment,
supplies
supplies – heating
 equipment, supplies
supplies – plumbing
 equipment, supplies",,,3,3,,15,7
"home improvement & hardware stores, construction & building materials stores & suppliers",5085,industrial supplies not elsewhere classified,merchants classified with this mcc are business-tobusiness or wholesale distributors of industrial supplies that are not classified with a more specific mcc.,supplies – industrial,restricted/high risk,,5,4,,15,7
"antiques, fine art, collectibles, clock, jewelry, precious stones, and silverware stores and services",5094,"precious stones and metals, watches and jewelry","merchants classified with this mcc are business-tobusiness or wholesale distributors of jewelry, precious stones and metals. this mcc also includes wholesalers of costume jewelry, watches and watch parts, clocks, silverware, diamonds and gem stones, precious metals, pearls, and trophies.","gemstones, precious
 stones, metals,
 watches, jewelry
jewelry – fine watches",restricted/high risk,restricted/high risk,5,4,,15,7
miscellaneous stores & services,5099,durable goods not elsewhere classified,merchants classified with this mcc are business-tobusiness or wholesale distributors of durable goods that are not classified with a more specific mcc.,"fire extinguishers
firearms, ammunition
gas lighting fixtures
goods – durable
grave stones
luggage (business to
 business)
monuments
musical instruments
rough timber products
signs",restricted/high risk,restricted/high risk,3,3,,15,7
miscellaneous stores & services,5111,"stationery, office supplies, printing and writing paper",merchants classified with this mcc are business-tobusiness or wholesale distributors of stationery and office supplies and printing and writing paper.,"business supplies –
 stationery, office, printing,
writing supplies
office supplies
paper – writing, printing,
 stationery, office supplies
printing supplies
supplies – stationery,
 office supplies, printing,
 and writing paper",,,1,1,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5122,"drugs, drug proprietors and druggists sundries","merchants classified with this mcc are business-tobusiness or wholesale distributors of prescription drugs, proprietary drugs, vitamins, druggists’ sundries and toiletries, antiseptics, bandages, pharmaceuticals, and biological or related products.","cosmetic distributors
distributors – drugs,
 druggists’ sundries,
 toiletries
druggist supplies
perfume distributors
pharmaceuticals
supplies – drugs, drug
 proprietaries, druggist
 sundries, vitamins",prohibited,prohibited,5,2,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",5,1
miscellaneous stores & services,5131,"piece goods, notions, and other dry goods","merchants classified with this mcc are business-tobusiness or wholesale distributors of piece goods, dry goods, and notions/haberdashery.","fabric goods
hair accessories
notions
sewing accessories
supplies – millinery
textiles, textile binding",prohibited,,1,1,,5,1
clothing and accessories stores,5137,"men’s, women’s and children’s uniforms and commercial clothing","merchants classified with this mcc are business-tobusiness or wholesale distributors of commercial work clothing and uniforms. this mcc includes wholesale distributors of graduation caps and gowns, athletic and recreational uniforms, and school uniforms, but not shoes.","children’s uniforms
commercial clothing –
 men’s, women’s,
 children’s
men’s uniforms
professional uniforms
uniforms – men’s,
 women’s, children’s
women’s uniforms",,,1,2,,5,1
clothing and accessories stores,5139,commercial footwear,merchants classified with this mcc are business-tobusiness or wholesale distributors of commercial shoes and boots including athletic footwear.,"footwear – commercial
shoes, shoe accessories
 – commercial",prohibited,,3,2,,5,1
"chemicals, fuel, & petroleum dealers, stores, & services",5169,chemicals and allied products not elsewhere classified,merchants classified with this mcc are business-tobusiness or wholesale distributors of chemicals and allied products that are not classified with a more specific mcc.,"detergents
supplies – chemicals,
 allied products ",prohibited,,3,1,,7,2
"chemicals, fuel, & petroleum dealers, stores, & services",5172,petroleum and petroleum products,"merchants classified with this mcc are business-tobusiness or wholesale distributors of petroleum and petroleum products, butane gas, crude oil, fuel oil, gasoline, kerosene, lubricating oils and greases, aircraft fueling services, and naphtha.","fuel products, services
services – fueling",,,3,1,,10,2
miscellaneous stores & services,5192,"books, periodicals and newspapers","merchants classified with this mcc are business-tobusiness or wholesale distributors of books, periodicals, magazines, journals, and newspapers, including newspaper agencies.","journals
magazines
newspapers, newspaper
 agencies
periodicals",restricted/high risk,restricted/high risk,1,1,,10,2
miscellaneous stores & services,5193,"florists supplies, nursery stock and flowers","merchants classified with this mcc are business-tobusiness or wholesale distributors of flowers, nursery stock and florists’ supplies, fresh and artificial flowers, and potted plants.","gardening supplies
nursery stock
plants
supplies – florist supplies,
 nursery stock, flowers",,,1,1,,5,1
"home improvement & hardware stores, construction & building materials stores & suppliers",5198,"paints, varnishes and supplies","merchants classified with this mcc are business-tobusiness or wholesale distributors of paints, varnishes, wallpaper, and supplies, including colors and pigments, enamels, lacquers, paint brushes, paint pans, sandpaper, drop cloths, shellac, rollers, and sprayers.","supplies – paints,
 varnishes, supplies
varnishes, paints,
 supplies",prohibited,,1,1,,5,1
miscellaneous stores & services,5199,non-durable goods not elsewhere classified,"merchants classified with this mcc are business-tobusiness or wholesale distributors of nondurable goods that are not classified with a more specific mcc, such as food products, art goods, clothes hangers, foam rubber, ice, crude rubber, sponges, textile bags, burlap, canvas products, leather, and baskets.",goods – nondurable,restricted/high risk,,3,2,,7,1
"home improvement & hardware stores, construction & building materials stores & suppliers",5200,home supply warehouse stores,"merchants classified with this mcc sell of a wide range of home products such as wallpaper, paint, lumber, garden supplies, electrical equipment and supplies and home decorating items, as well as sinks, cabinets and doors.","warehouse stores –
 home supply",,,1,1,,5,1
"home improvement & hardware stores, construction & building materials stores & suppliers",5211,"building materials, lumber stores","merchants classified with this mcc sell of one or more of the following products: lumber, unfinished wood products, lighting materials, concrete, sand, gravel, general building or electrical supplies, bricks, fencing, pipe, fiberglass, or molding. this mcc includes building centers that offer their products to contractors rather than to the general public and does not include home supply store chains that are frequented by the general public.","building materials
construction materials
materials – lumber,
 building
roofing materials
supplies – lumber,
 building materials",,,1,2,,10,2
"home improvement & hardware stores, construction & building materials stores & suppliers",5231,"glass, paint, wallpaper stores","merchants classified with this mcc sell glass, paint and painting supplies, wallpaper and hanging supplies, and other wall covering materials.","paint, painting supplies
supplies – glass
supplies – paint, painting
 supplies
supplies – wallpaper,
 supplies
wallpaper, wallcovering
 supplies store",,,1,1,,5,1
"home improvement & hardware stores, construction & building materials stores & suppliers",5251,hardware stores,merchants classified with this mcc sell a full range of hardware supplies for purchase by the general public.,"electrical supplies
hand tools
lighting fixtures, supplies
plumbing supplies
power tools
supplies – hardware
stores
tools",,,3,1,,5,1
"home improvement & hardware stores, construction & building materials stores & suppliers",5261,lawn and garden supply stores,"merchants classified with this mcc sell nursery stock, trees, shrubs, other plants, seeds, bulbs, mulches, soil conditioners, fertilizers, pesticides, garden tools, and other garden supplies.","gardening supplies
greenhouses
lawn, garden supply
plant shops
supplies – nurseries,
lawn, garden supply
stores",,,3,1,,5,1
miscellaneous stores & services,5262,Marketplaces,"entities classified with this mcc are online marketplaces that accept visa and bring together cardholders and retailers selling a range of goods or services that may otherwise qualify for different mccs, on a single ecommerce website or mobile application, under a single brand used to identify itself to cardholders. marketplaces with a single line of goods or services must use the mcc that most accurately describes that line of business. these marketplaces must meet all visa qualification requirements, and be registered with visa as a marketplace.",,restricted/high risk,restricted/high risk,4,5,always confirm dd,25,25
